id,year,rank,overall_pick,team,player,college,years_active,games,minutes_played,points,total_rebounds,assists,field_goal_percentage,3_point_percentage,free_throw_percentage,average_minutes_played,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement
53,1989,53,53,DAL,Jeff Hodge,University of South Alabama,,,,,,,,,,,,,,,,,
54,1989,54,54,PHI,Toney Mack,Georgia,,,,,,,,,,,,,,,,,
55,1990,1,1,NJN,Derrick Coleman,Syracuse,15,781,25903,12884,7232,1985,0.447,0.295,0.769,33.2,16.5,9.3,2.5,64.3,0.119,1.4,22.3
56,1990,2,2,SEA,Gary Payton,Oregon State,17,1335,47117,21813,5269,8966,0.466,0.317,0.729,35.3,16.3,3.9,6.7,145.5,0.148,3.3,62.5
57,1990,3,3,DEN,Mahmoud Abdul-Rauf,LSU,9,586,15628,8553,1087,2079,0.442,0.354,0.905,26.7,14.6,1.9,3.5,25.2,0.077,-0.8,4.5
58,1990,4,4,ORL,Dennis Scott,Georgia Tech,10,629,17983,8094,1774,1296,0.417,0.397,0.793,28.6,12.9,2.8,2.1,33.4,0.089,0.2,9.9
59,1990,5,5,CHH,Kendall Gill,Illinois,15,966,29481,12914,4002,2945,0.434,0.3,0.754,30.5,13.4,4.1,3,47.8,0.078,0.1,15.8
60,1990,6,6,MIN,Felton Spencer,Louisville,12,640,12298,3354,3436,213,0.484,0,0.658,19.2,5.2,5.4,0.3,20.9,0.081,-4.3,-7
61,1990,7,7,SAC,Lionel Simmons,La Salle,7,454,13472,5833,2833,1498,0.433,0.305,0.771,29.7,12.8,6.2,3.3,16.9,0.06,0,6.7
62,1990,8,8,LAC,Bo Kimble,Loyola Marymount,3,105,1336,574,162,98,0.386,0.291,0.728,12.7,5.5,1.5,0.9,0.1,0.004,-5.7,-1.2
63,1990,9,9,MIA,Willie Burton,Minnesota,8,316,6666,3243,932,393,0.424,0.345,0.786,21.1,10.3,2.9,1.2,9.1,0.065,-2.5,-0.9
64,1990,10,10,ATL,Rumeal Robinson,Michigan,6,336,6098,2546,606,1179,0.432,0.344,0.611,18.1,7.6,1.8,3.5,5.2,0.041,-1.5,0.8
65,1990,11,11,GSW,Tyrone Hill,Xavier,14,801,22388,7532,6854,647,0.502,0,0.643,28,9.4,8.6,0.8,56.2,0.12,-1.9,0.8
66,1990,12,12,HOU,Alec Kessler,Georgia,4,210,2937,1084,751,81,0.426,0.417,0.744,14,5.2,3.6,0.4,2,0.033,-5.9,-2.8
67,1990,13,13,LAC,Loy Vaught,Michigan,11,689,16993,6984,4881,652,0.504,0.244,0.718,24.7,10.1,7.1,0.9,35.8,0.101,-1.5,2.2
68,1990,14,14,SAC,Travis Mays,Texas,3,115,2964,1273,233,326,0.41,0.362,0.749,25.8,11.1,2,2.8,2.4,0.039,-2.6,-0.5
69,1990,15,15,MIA,Dave Jamerson,Ohio University,3,90,594,306,77,61,0.392,0.277,0.86,6.6,3.4,0.9,0.7,0.2,0.018,-3.9,-0.3
70,1990,16,16,MIL,Terry Mills,Michigan,11,678,16422,7175,3680,891,0.457,0.384,0.781,24.2,10.6,5.4,1.3,33.3,0.097,-0.6,5.9
71,1990,17,17,NYK,Jerrod Mustaf,Maryland,4,179,1902,721,452,99,0.449,0,0.648,10.6,4,2.5,0.6,1.7,0.043,-4.1,-1
72,1990,18,18,SAC,Duane Causwell,Temple,11,541,9409,2648,2273,243,0.507,0.286,0.618,17.4,4.9,4.2,0.4,15.8,0.081,-2.3,-0.7
73,1990,19,19,BOS,Dee Brown,Jacksonville University,12,608,16843,6758,1569,2227,0.436,0.357,0.825,27.7,11.1,2.6,3.7,33.4,0.095,0.8,11.6
74,1990,20,20,MIN,Gerald Glass,Ole Miss,4,201,3347,1553,512,298,0.433,0.236,0.643,16.7,7.7,2.5,1.5,1.8,0.025,-1.9,0.1
75,1990,21,21,PHO,Jayson Williams,St. John's,9,475,9805,3472,3584,287,0.44,0.125,0.606,20.6,7.3,7.5,0.6,20,0.098,-2.8,-2.1
76,1990,22,22,NJN,Tate George,UConn,4,177,2019,736,180,325,0.414,0.071,0.82,11.4,4.2,1,1.8,1.3,0.032,-3.5,-0.8
77,1990,23,23,SAC,Anthony Bonner,Saint Louis,6,318,7372,2199,1726,442,0.468,0.125,0.59,23.2,6.9,5.4,1.4,10.8,0.07,-2,0.1
78,1990,24,24,SAS,Dwayne Schintzius,Florida,8,217,1950,587,536,93,0.404,0.125,0.638,9,2.7,2.5,0.4,1,0.024,-5,-1.5
79,1990,25,25,POR,Alaa Abdelnaby,Duke,5,256,3200,1465,846,85,0.502,0,0.701,12.5,5.7,3.3,0.3,4.8,0.072,-3.8,-1.5
80,1990,26,26,DET,Lance Blanks,Texas,3,142,1045,289,110,117,0.436,0.253,0.667,7.4,2,0.8,0.8,0.7,0.031,-3.2,-0.3
81,1990,27,27,LAL,Elden Campbell,Clemson,15,1044,25776,10805,6116,1199,0.46,0.054,0.699,24.7,10.3,5.9,1.1,62.8,0.117,-0.5,9.5
82,1990,28,28,GSW,Les Jepsen,Iowa,2,52,192,53,67,2,0.333,0,0.65,3.7,1,1.3,0,0.1,0.031,-8,-0.3
83,1990,29,29,CHI,Toni Kukoč,,13,846,22212,9810,3555,3119,0.447,0.335,0.729,26.3,11.6,4.2,3.7,59.6,0.129,2.8,27.2
84,1990,30,30,MIA,Carl Herrera,Houston,8,465,8042,2481,1690,261,0.476,0.143,0.643,17.3,5.3,3.6,0.6,9,0.054,-3.7,-3.4
85,1990,31,31,PHO,Negele Knight,Dayton,6,276,4513,1699,351,780,0.436,0.263,0.73,16.4,6.2,1.3,2.8,4.2,0.044,-3,-1.1
86,1990,32,32,PHI,Brian Oliver,Georgia Tech,4,118,1182,389,123,114,0.388,0.227,0.705,10,3.3,1,1,-0.5,-0.02,-5.9,-1.2
87,1990,33,33,UTA,Walter Palmer,Dartmouth College,2,48,209,100,65,11,0.412,0,0.667,4.4,2.1,1.4,0.2,-0.1,-0.013,-6.7,-0.2
88,1990,34,34,GSW,Kevin Pritchard,Kansas,4,94,1125,340,90,152,0.399,0.186,0.79,12,3.6,1,1.6,0.4,0.017,-4,-0.6
89,1990,35,35,WSB,Greg Foster,Texas-El Paso,13,656,7974,2538,1691,351,0.44,0.225,0.748,12.2,3.9,2.6,0.5,5.6,0.033,-5.5,-7
90,1990,36,36,ATL,Trevor Wilson,UCLA,4,103,1609,591,353,99,0.456,0,0.567,15.6,5.7,3.4,1,0.8,0.023,-3.4,-0.6
91,1990,37,37,WSB,A.J. English,Virginia Union University,2,151,3108,1502,315,320,0.435,0.138,0.778,20.6,9.9,2.1,2.1,1.1,0.017,-3.9,-1.5
92,1990,38,38,SEA,Jud Buechler,Arizona,12,720,8444,2385,1266,560,0.433,0.366,0.633,11.7,3.3,1.8,0.8,16.5,0.094,-0.1,4
93,1990,39,39,CHH,Steve Scheffler,Purdue,7,174,918,331,180,26,0.558,0.2,0.759,5.3,1.9,1,0.1,2.9,0.153,-1.9,0
94,1990,40,40,SAC,Bimbo Coles,Virginia Tech,14,852,20319,6628,1820,3313,0.425,0.267,0.811,23.8,7.8,2.1,3.9,27.4,0.065,-1.6,1.9
95,1990,41,41,ATL,Steve Bardo,Illinois,3,33,299,73,60,44,0.329,0.1,0.696,9.1,2.2,1.8,1.3,-0.1,-0.02,-4,-0.2
96,1990,42,42,DEN,Marcus Liberty,Illinois,4,267,4568,1942,925,244,0.417,0.34,0.664,17.1,7.3,3.5,0.9,4,0.042,-2.6,-0.7
97,1990,43,43,SAS,Tony Massenburg,Maryland,13,683,12291,4238,2964,266,0.47,0.091,0.705,18,6.2,4.3,0.4,15.6,0.061,-4.5,-7.8
98,1990,44,44,MIL,Steve Henson,Kansas State,7,238,2282,739,176,465,0.403,0.432,0.869,9.6,3.1,0.7,2,3.8,0.079,-1.8,0.1
99,1990,45,45,IND,Antonio Davis,Texas-El Paso,13,903,26084,9041,6755,1017,0.448,0.087,0.727,28.9,10,7.5,1.1,59.6,0.11,-1.3,4.4
100,1990,46,46,IND,Kenny Williams,Elizabeth City State University,4,260,2918,1247,693,161,0.511,0,0.68,11.2,4.8,2.7,0.6,7.4,0.122,0.1,1.5
101,1990,47,47,PHI,Derek Strong,Xavier,10,456,8548,3088,2213,291,0.43,0.18,0.786,18.7,6.8,4.9,0.6,18.5,0.104,-2.1,-0.3
102,1990,48,48,PHO,Cedric Ceballos,Cal State Fullerton,11,609,14712,8693,3258,723,0.5,0.309,0.753,24.2,14.3,5.3,1.2,40.4,0.132,0.7,10.1
103,1990,49,49,DAL,Phil Henderson,Duke,,,,,,,,,,,,,,,,,
104,1990,50,50,PHO,Miloš Babić,Tennessee Technological University,2,21,87,37,20,10,0.375,,0.65,4.1,1.8,1,0.5,-0.1,-0.028,-5.9,-0.1
105,1990,51,51,LAL,Tony Smith,Marquette,9,457,7295,2504,735,881,0.431,0.307,0.69,16,5.5,1.6,1.9,6.7,0.044,-2,0
106,1990,52,52,CLE,Stefano Rusconi,,1,7,30,8,6,3,0.333,,0.4,4.3,1.1,0.9,0.4,-0.1,-0.104,-11.4,-0.1
107,1990,53,53,SEA,Abdul Shamsid-Deen,Providence,,,,,,,,,,,,,,,,,
108,1990,54,54,SAS,Sean Higgins,Michigan,6,220,3334,1375,402,226,0.428,0.321,0.85,15.2,6.3,1.8,1,0.4,0.006,-4.7,-2.3
109,1991,1,1,CHH,Larry Johnson,UNLV,10,707,25685,11450,5300,2298,0.484,0.332,0.766,36.3,16.2,7.5,3.3,69.7,0.13,1.4,22
110,1991,2,2,NJN,Kenny Anderson,Georgia Tech,14,858,25868,10789,2641,5196,0.421,0.346,0.79,30.1,12.6,3.1,6.1,62.5,0.116,1.4,21.9
111,1991,3,3,SAC,Billy Owens,Syracuse,10,600,17619,7026,4016,1704,0.481,0.291,0.629,29.4,11.7,6.7,2.8,28.6,0.078,-0.2,7.8
112,1991,4,4,DEN,Dikembe Mutombo,Georgetown,18,1196,36791,11729,12359,1240,0.518,0,0.684,30.8,9.8,10.3,1,117,0.153,1.7,33.9
113,1991,5,5,MIA,Steve Smith,Michigan State,14,942,28855,13430,3060,2922,0.44,0.358,0.845,30.6,14.3,3.2,3.1,83.7,0.139,1.4,24.6
114,1991,6,6,DAL,Doug Smith,Missouri,5,296,5833,2356,1234,400,0.425,0.083,0.773,19.7,8,4.2,1.4,3,0.024,-3.6,-2.4
115,1991,7,7,MIN,Luc Longley,New Mexico,10,567,12006,4090,2794,836,0.462,0,0.76,21.2,7.2,4.9,1.5,17.5,0.07,-2.6,-1.9
116,1991,8,8,DEN,Mark Macon,Temple,6,251,5018,1685,467,428,0.384,0.27,0.735,20,6.7,1.9,1.7,0.1,0.001,-3.7,-2.2
117,1991,9,9,ATL,Stacey Augmon,UNLV,15,1001,21658,7990,3216,1561,0.469,0.152,0.728,21.6,8,3.2,1.6,43.8,0.097,-0.2,9.8
118,1991,10,10,ORL,Bison Dele,Arizona,8,413,10004,4536,2564,440,0.528,0.143,0.691,24.2,11,6.2,1.1,22.8,0.109,-0.6,3.4
119,1991,11,11,CLE,Terrell Brandon,Oregon,11,724,21545,9994,2174,4407,0.448,0.355,0.873,29.8,13.8,3,6.1,65.9,0.147,3.6,30.3
120,1991,12,12,NYK,Greg Anthony,UNLV,11,757,15850,5497,1417,2997,0.403,0.349,0.733,20.9,7.3,1.9,4,35.9,0.109,1.3,13.3
121,1991,13,13,IND,Dale Davis,Clemson,16,1094,29606,8706,8605,978,0.53,0,0.562,27.1,8,7.9,0.9,86.9,0.141,0.5,18.4
122,1991,14,14,SEA,Rich King,Nebraska,4,72,309,135,74,21,0.393,0,0.662,4.3,1.9,1,0.3,0.2,0.036,-6.9,-0.4
123,1991,15,15,ATL,Anthony Avent,Seton Hall,6,352,6729,1958,1584,278,0.403,0,0.686,19.1,5.6,4.5,0.8,0.3,0.002,-5.7,-6.4
124,1991,16,16,GSW,Chris Gatling,Old Dominion,11,700,13760,7232,3741,461,0.513,0.249,0.66,19.7,10.3,5.3,0.7,32.1,0.112,-1.1,3.2
125,1991,17,17,GSW,Victor Alexander,Iowa State,5,286,5755,2542,1384,257,0.518,0.286,0.634,20.1,8.9,4.8,0.9,8.8,0.073,-2.2,-0.3
126,1991,18,18,MIL,Kevin Brooks,Louisiana,3,126,1031,417,141,48,0.401,0.2,0.859,8.2,3.3,1.1,0.4,-0.1,-0.004,-5.9,-1
127,1991,19,19,WSB,LaBradford Smith,Louisville,3,183,3131,1218,271,394,0.432,0.298,0.813,17.1,6.7,1.5,2.2,1.5,0.024,-3.6,-1.2
128,1991,20,20,HOU,John Turner,Phillips University,1,42,345,117,78,12,0.439,,0.525,8.2,2.8,1.9,0.3,-0.1,-0.021,-7.9,-0.5
129,1991,21,21,UTA,Eric Murdock,Providence,9,508,11882,5118,1261,2467,0.438,0.343,0.786,23.4,10.1,2.5,4.9,25.6,0.103,2,12.1
130,1991,22,22,LAC,LeRon Ellis,Syracuse,3,91,857,277,220,29,0.433,,0.613,9.4,3,2.4,0.3,1.2,0.069,-3.5,-0.3
131,1991,23,23,ORL,Stanley Roberts,LSU,8,300,5869,2555,1549,189,0.499,0,0.514,19.6,8.5,5.2,0.6,8.1,0.066,-3.4,-2
132,1991,24,24,BOS,Rick Fox,UNC,13,930,23723,8966,3517,2649,0.45,0.349,0.77,25.5,9.6,3.8,2.8,44.7,0.09,0,11.7
133,1991,25,25,GSW,Shaun Vandiver,Colorado,,,,,,,,,,,,,,,,,
134,1991,26,26,CHI,Mark Randall,Kansas,4,127,883,332,160,56,0.443,0.154,0.722,7,2.6,1.3,0.4,1,0.054,-3.3,-0.3
135,1991,27,27,SAC,Pete Chilcutt,UNC,9,584,8394,2494,1935,488,0.441,0.381,0.696,14.4,4.3,3.3,0.8,10.6,0.06,-1.8,0.3
136,1991,28,28,CHH,Kevin Lynch,Minnesota,2,95,1143,310,120,108,0.436,0.333,0.726,12,3.3,1.3,1.1,0.4,0.016,-4.4,-0.7
137,1991,29,29,MIA,George Ackles,UNLV,,,,,,,,,,,,,,,,,
138,1991,30,30,ATL,Rodney Monroe,NC State,1,38,313,131,33,27,0.368,0.222,0.826,8.2,3.4,0.9,0.7,-0.2,-0.035,-5.3,-0.3
139,1991,31,31,SAC,Randy Brown,New Mexico State,12,655,11533,3148,1173,1420,0.417,0.2,0.691,17.6,4.8,1.8,2.2,11,0.046,-1.9,0.2
140,1991,32,32,PHO,Chad Gallagher,Creighton,1,2,3,6,0,0,1,,,1.5,3,0,0,0.1,1.442,30.1,0
141,1991,33,33,DAL,Donald Hodge,Temple,5,249,3501,1182,809,191,0.437,0.286,0.711,14.1,4.7,3.2,0.8,1.8,0.025,-4.2,-1.9
142,1991,34,34,MIN,Myron Brown,Slippery Rock University of Pennsylvania,1,4,23,9,3,6,0.667,0.333,,5.8,2.3,0.8,1.5,0,0.032,-1.8,0
143,1991,35,35,DAL,Mike Iuzzolino,Saint Francis University,2,122,3049,1096,238,522,0.457,0.404,0.798,25,9,2,4.3,3.7,0.058,-1.9,0.1
144,1991,36,36,ORL,Chris Corchiani,NC State,3,112,1313,416,129,243,0.421,0.269,0.816,11.7,3.7,1.2,2.2,1.6,0.058,-1.8,0.1
145,1991,37,37,LAC,Elliot Perry,Memphis,10,549,9501,3449,742,1699,0.459,0.359,0.783,17.3,6.3,1.4,3.1,14,0.071,-0.5,3.6
146,1991,38,38,LAC,Joe Wylie,Miami (FL),,,,,,,,,,,,,,,,,
147,1991,39,39,CLE,Jimmy Oliver,Purdue,5,78,856,331,80,55,0.407,0.34,0.772,11,4.2,1,0.7,0.3,0.018,-4.7,-0.6
148,1991,40,40,DET,Doug Overton,La Salle,11,499,7275,2253,654,1038,0.412,0.319,0.816,14.6,4.5,1.3,2.1,2.5,0.016,-3.9,-3.5
149,1991,41,41,IND,Sean Green,Iona College,3,84,671,352,85,45,0.386,0.246,0.62,8,4.2,1,0.5,-1.3,-0.095,-7,-0.8
150,1991,42,42,SAC,Steve Hood,James Madison University,,,,,,,,,,,,,,,,,
151,1991,43,43,GSW,Lamont Strothers,Christopher Newport University,2,13,155,60,15,14,0.329,0.133,0.714,11.9,4.6,1.2,1.1,-0.5,-0.142,-7.7,-0.2
152,1991,44,44,PHI,Alvaro Teheran,Houston,,,,,,,,,,,,,,,,,
153,1991,45,45,MIL,Bobby Phills,Southern University and A&M College,9,467,13426,5153,1469,1246,0.443,0.39,0.738,28.7,11,3.1,2.7,27.2,0.097,0.2,7.5
154,1991,46,46,PHO,Richard Dumas,Oklahoma State,3,102,2226,1080,351,111,0.509,0.231,0.694,21.8,10.6,3.4,1.1,4.5,0.097,-0.2,1
155,1991,47,47,HOU,Keith Hughes,Rutgers University,,,,,,,,,,,,,,,,,
156,1991,48,48,UTA,Isaac Austin,Arizona State,9,432,8350,3285,2030,538,0.446,0.176,0.67,19.3,7.6,4.7,1.2,9.2,0.053,-2.5,-1
157,1991,49,49,SAS,Greg Sutton,Oral Roberts,3,168,1946,761,153,284,0.396,0.361,0.743,11.6,4.5,0.9,1.7,1,0.024,-3.6,-0.8
158,1991,50,50,PHO,Joey Wright,Texas,,,,,,,,,,,,,,,,,
159,1991,51,51,HOU,Žan Tabak,,6,247,3607,1233,883,165,0.506,0,0.525,14.6,5,3.6,0.7,2.4,0.032,-4.9,-2.7
160,1991,52,52,LAL,Anthony Jones,Oral Roberts,,,,,,,,,,,,,,,,,
161,1991,53,53,NJN,Von McDade,UW-Milwaukee,,,,,,,,,,,,,,,,,
162,1991,54,54,POR,Marcus Kennedy,Eastern Michigan,,,,,,,,,,,,,,,,,
163,1992,1,1,ORL,Shaquille O'Neal,LSU,19,1207,41918,28596,13099,3026,0.582,0.045,0.527,34.7,23.7,10.9,2.5,181.7,0.208,5.1,75.5
164,1992,2,2,CHH,Alonzo Mourning,Georgetown,15,838,25975,14311,7137,946,0.527,0.247,0.692,31,17.1,8.5,1.1,89.7,0.166,2.2,27.4
165,1992,3,3,MIN,Christian Laettner,Duke,13,868,25760,11121,5806,2224,0.48,0.261,0.82,29.7,12.8,6.7,2.6,64.9,0.121,1,19.5
166,1992,4,4,DAL,Jim Jackson,Ohio State,14,885,29067,12690,4152,2851,0.428,0.365,0.825,32.8,14.3,4.7,3.2,35.8,0.059,-0.9,8.2
167,1992,5,5,DEN,LaPhonso Ellis,Notre Dame,11,624,17616,7410,4032,981,0.452,0.302,0.73,28.2,11.9,6.5,1.6,32.8,0.089,-1,4.6
168,1992,6,6,WSB,Tom Gugliotta,NC State,13,763,23556,9895,5589,2140,0.451,0.284,0.757,30.9,13,7.3,2.8,40.2,0.082,0.6,15.3
169,1992,7,7,SAC,Walt Williams,Maryland,11,708,18818,8385,2794,1637,0.425,0.379,0.743,26.6,11.8,3.9,2.3,33.9,0.087,0.5,11.8
170,1992,8,8,MIL,Todd Day,Arkansas,8,483,12214,5917,1649,713,0.406,0.345,0.739,25.3,12.3,3.4,1.5,17.5,0.069,-0.9,3.4
171,1992,9,9,PHI,Clarence Weatherspoon,Southern Miss,13,915,27736,10483,6846,1346,0.471,0.196,0.743,30.3,11.5,7.5,1.5,58.4,0.101,-0.3,11.8
