Name,Developer,Producer,Genre,Operating System,Date Released
Accounting (video game),Crows Crows Crows,Crows Crows Crows,Exploration game,Microsoft Windows,"October 18, 2016"
Ace Combat 7: Skies Unknown,Bandai Namco Studios,Bandai Namco Entertainment,Combat flight simulator,Microsoft Windows,"February 1, 2019"
Ace Combat: Assault Horizon,Project Aces,Namco Bandai Games,Combat flight simulator,Microsoft Windows,"January 24, 2013"
Ace Lightning,Absolute Studios,Gamezlab,"Action-adventure, third-person shooter, platform game",IBM PC,"October 25, 2002"
Ace of Spades,Jagex,Jagex,First-person shooter,"Microsoft Windows, macOS","December 12, 2012"
Ace Online,MasangSoft Inc.,Many,"MMO, 3D Space Shooter",Microsoft Windows,"May 26, 2006"
Ace Ventura: The CD-Rom Game,7th Level,Bomico Entertainment Software,Graphic Adventure (Point-and-click),Microsoft Windows,"October 31, 1996"
Aces High,HiTech Creations,HiTech Creations,Combat flight simulator,Microsoft Windows,"May 8, 2000"
Aces of the Galaxy,Artech Digital Entertainment,Vivendi Games,Rail shooter,Microsoft Windows,"June 4, 2008"
Aces of the Pacific,Dynamix,Sierra Entertainment,Combat flight simulator,MS-DOS,"November 8, 1992"
Achron,"Hazardous Software, Inc.","Hazardous Software, Inc.",Real-time strategy,Microsoft Windows,"August 29, 2011"
Achtung Panzer: Kharkov 1943,Graviteam,Paradox Interactive,"Real-time strategy, Wargame",Microsoft Windows,"February 25, 2010"
Achtung Spitfire!,Big Time Software,Avalon Hill,"Strategy, Computer wargaming",Microsoft Windows,"August 31, 1997"
Acrophobia (game),Andrea Jennifer Shubert,Internet Relay Chat,Word,Microsoft Windows,1995
Act of Aggression,Eugen Systems,Focus Home Interactive,Real-time strategy,Microsoft Windows,"September 2, 2015"
Act of War: Direct Action,Eugen Systems,"Atari, Inc.",Real-time Strategy (RTS),Microsoft Windows,"March 15, 2005"
Act of War: High Treason,Eugen Systems,"Atari, Inc.",Real-time Strategy (RTS),Microsoft Windows,"March 24, 2006"
Action Quake 2,The A-Team,The A-Team,First-person shooter,"BeOS, Linux, Mac OS, Microsoft Windows","November 12, 1998"
Activision Anthology,"MumboJumbo, MacPlay",Activision,Compilation,"Microsoft Windows, Macintosh","November 19, 2002"
Actua Golf 2,Gremlin Interactive,Fox Sports Interactive,Sports,Microsoft Windows,1998
Actua Ice Hockey,Gremlin Interactive,Gremlin Interactive,Sports,Microsoft Windows,1998
Actua Pool,Gremlin Interactive,Gremlin Interactive,Sports,Microsoft Windows,1999
Actua Soccer,Gremlin Interactive,Greenwood Entertainment,Soccer,Microsoft Windows,2009
Ad Verbum,Nick Montfort,Nick Montfort,"Text Adventure, Interactive Fiction",Microsoft Windows,"October 4, 2000"
AD&D Masterpiece Collection,Strategic Simulations,Strategic Simulations,Role-playing video game,Microsoft Windows,1996
Adam's Venture,Vertigo Digital Entertainment,Soedesco,Adventure,Microsoft Windows,2009
Addiction Pinball,Team17,MicroProse,Pinball,Microsoft Windows,"April 30, 1998"
Adidas Power Soccer,Psygnosis France,Psygnosis,Sports,Microsoft Windows,1996
Adrift (video game),Three One Zero,505 Games,Adventure,Microsoft Windows,"March 28, 2016"
Advent Rising,GlyphX Games,Majesco Entertainment,"Action-adventure, third-person shooter",Microsoft Windows,"May 31, 2005"
Adventure at the Chateau d'Or,Karma Labs,Karma Labs,Adventure,Microsoft Windows,"April 2, 2001"
AdVenture Capitalist,Hyper Hippo Productions,Hyper Hippo Productions,Incremental,Microsoft Windows,"March 30, 2015"
Adventure Pinball: Forgotten Island,Digital Extremes,Electronic Arts,Pinball,Microsoft Windows,"March 21, 2001"
Adventures of Pip,Tic Toc Games,Tic Toc Games,"Action, platform",Microsoft Windows,"June 4, 2015"
AdvertCity,VoxelStorm,VoxelStorm,Tycoon game,"Microsoft Windows, Linux, macOS","April 17, 2015"
Africa Trail,MECC,The Learning Company,"Adventure, Educational, Simulation, Sports","Microsoft Windows, macOS",1995
After...,Ciel,Ciel,Visual novel,Microsoft Windows,"June 27, 2003"
Afterlife,LucasArts,LucasArts,God game,"Microsoft Windows, macOS",1996
Afterparty,Night School Studio,Night School Studio,Adventure,"Windows, macOS","September 29, 2017"
Agatha Christie: And Then There Were None,AWE Productions,The Adventure Company,Adventure,Microsoft Windows,"September 30, 2005"
Agatha Christie: Evil Under the Sun,AWE Productions,The Adventure Company,Adventure,Microsoft Windows,"October 16, 2007"
Agatha Christie: Murder on the Orient Express,AWE Productions,The Adventure Company,Adventure,Microsoft Windows,"November 14, 2006"
Age of Booty,Certain Affinity,Capcom,Real-time Strategy (RTS),Microsoft Windows,"March 5, 2009"
Age of Chivalry,Team Chivalry,Team Chivalry,Action,Microsoft Windows,"September 10, 2007"
Age of Conan,Funcom,Funcom,MMORPG,Microsoft Windows,"May 20, 2008"
Age of Empires,Ensemble Studios,Microsoft Game Studios,Real-time Strategy (RTS),Microsoft Windows,"October 15, 1997"
Age of Empires: The Rise of Rome,Ensemble Studios,Microsoft Game Studios,Real-time Strategy (RTS),Microsoft Windows,"October 31, 1998"
Age of Empires II: HD Edition,"Hidden Path Entertainment, Ensemble Studios",Microsoft Game Studios,Real-time Strategy (RTS),Microsoft Windows,"April 9, 2013"
Age of Empires II: The African Kingdoms,Ensemble Studios,Microsoft Game Studios,Real-time Strategy (RTS),"Microsoft Windows, macOS","April 9, 2015"
Age of Empires II: The Age of Kings,Ensemble Studios,"Microsoft Game Studios, Konami",Real-time Strategy (RTS),Microsoft Windows,"September 30, 1999"
Age of Empires II: The Conquerors,Ensemble Studios,"Microsoft Game Studios, Konami",Real-time Strategy (RTS),Microsoft Windows,"August 24, 2000"
Age of Empires II: The Forgotten,"Skybox Labs, Forgotten Empires LLC",Microsoft Game Studios,Real-time Strategy (RTS) expansion pack,Microsoft Windows,"November 7, 2013"
Age of Empires III,Ensemble Studios,Microsoft Game Studios,Real-time Strategy (RTS),"Microsoft Windows, macOS","October 18, 2005"
Age of Empires III: The Asian Dynasties,"Ensemble Studios, Big Huge Games","Microsoft Game Studios, MacSoft",Real-time Strategy (RTS),"Microsoft Windows, macOS","November 2, 2007"
Age of Empires III: The WarChiefs,Ensemble Studios,"Microsoft Game Studios, MacSoft",Real-time Strategy (RTS),"Microsoft Windows, macOS","October 7, 2006"
Age of Mythology,Ensemble Studios,"Microsoft Game Studios, MacSoft",Real-time Strategy (RTS),Microsoft Windows,"October 30, 2002"
Age of Pirates: Caribbean Tales,Akella,"1C Company, Playlogic",Role-playing video game,Microsoft Windows,"September 12, 2006"
Age of Pirates 2: City of Abandoned Ships,Akella,Playlogic,Role-playing video game,Microsoft Windows,"May 26, 2009"
Age of Wonders,Triumph Studios,Gathering of Developers,Turn-based strategy,Microsoft Windows,"October 31, 1999"
Age of Wonders II: The Wizard's Throne,Triumph Studios,Take Two Interactive,Turn-based strategy,Microsoft Windows,"June 12, 2002"
Age of Wonders III,Triumph Studios,Triumph Studios,Turn-based strategy,"Microsoft Windows, Linux, macOS","March 31, 2014"
Age of Wonders: Shadow Magic,Triumph Studios,Gathering of Developers,Turn-based strategy,Microsoft Windows,"July 25, 2003"
AGEOD's American Civil War,AGEOD,Matrix Games,Turn-based strategy,Microsoft Windows,"June 26, 2007"
AGON,Private Moon Studios,Private Moon Studios,Adventure,Microsoft Windows,2003
Ai Space,Ai Space Production Committee,Ai Space Production Committee,"MMOSG, Virtual world",Microsoft Windows,"October 15, 2008"
Aion,NCsoft,"NCsoft, NC Interactive, Gameforge",Massively multiplayer online role-playing game,Microsoft Windows,"November 25, 2008"
Air Assault Task Force,ProSIM Company,Shrapnel Games,Wargame,Microsoft Windows,"November 17, 2006"
Air Conflicts: Secret Wars,Games Farm,bitComposer,Flight simulation,Microsoft Windows,"September 30, 2011"
Air Conflicts: Vietnam,Games Farm,bitComposer,Flight simulation,Microsoft Windows,"November 26, 2013"
Airscape: The Fall of Gravity,Cross-Product,Cross-Product,Platformer,"Microsoft Windows, Linux, macOS","August 11, 2015"
Alan Wake,Remedy Entertainment,"Microsoft Game Studios, Remedy Entertainment, Nordic Games, E Frontier",Survival horror,Microsoft Windows,"May 14, 2010"
Alien Swarm,Valve,Valve,Shoot-em-up,Microsoft Windows,"July 19, 2010"
Alpha Prime,Black Element Software,"IDEA Games, Meridian4, Bohemia Interactive",First-person shooter,Microsoft Windows,"May 25, 2007"
Amnesia: The Dark Descent,Frictional Games,Frictional Games,Horror game,"Microsoft Windows, Linux, macOS","August 8, 2010"
Amnesia: A Machine for Pigs,The Chinese Room,Frictional Games,Horror game,"Microsoft Windows, Linux, macOS","September 10, 2013"
Anno 1503,Max Design,Sunflowers,City-building game,Microsoft Windows,"March 23, 2003"
Anno 1602,Max Design,Sunflowers,City-building game,Microsoft Windows,"September 24, 1998"
Anno 1701,Related Designs,Sunflowers,City-building game,Microsoft Windows,"November 3, 2006"
Anno 2070,"Related Designs, Blue Byte",UbisoftAdded Achron,City-building game,Microsoft Windows,"November 17, 2011"
Anno 2205,Blue Byte,Ubisoft,City-building game,Microsoft Windows,"November 3, 2015"
Anomaly: Warzone Earth,11 bit studios,11 bit studios,Reverse Tower Defense,"Microsoft Windows, Linux, macOS","April 8, 2011"
Antichamber,Alexander Bruce,Demruth,Puzzle platformer,"Microsoft Windows, Linux, macOS","January 31, 2013"
Anubis II,Data Design Interactive,Metro3D Europe,Action,Microsoft Windows,"July 14, 2005"
Apex Legends,Respawn Entertainment,Electronic Arts,Battle royale,Microsoft Windows,"February 4, 2019"
ARMA: Armed Assault,Bohemia Interactive,505 Games,"Tactical shooter, military simulation, open world",Microsoft Windows,"November 10, 2006"
ARMA 2,Bohemia Interactive,505 Games,"Tactical shooter, military simulation, open world",Microsoft Windows,"June 26, 2009"
ARMA 3,Bohemia Interactive,Bohemia Interactive,"Tactical shooter, military simulation, open world",Microsoft Windows,"September 12, 2013"
Asphalt 8: Airborne,Gameloft,Gameloft,"Racing, simulation",Microsoft Windows,"August 22, 2013"
Assassin's Creed,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,"November 13, 2007"
Assassin’s Creed II,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,"November 17, 2009"
Assassin's Creed: Brotherhood,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,"November 16, 2010"
Assassin's Creed: Revelations,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,"November 15, 2011"
Assassin's Creed III,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,"October 30, 2012"
Assassin's Creed IV: Black Flag,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,"October 29, 2013"
Assassin's Creed Rogue,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,"November 11, 2014"
Assassin's Creed Unity,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,"November 14, 2014"
Assassin's Creed Syndicate,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,"October 23, 2015"
Assassin's Creed Origins,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,"October 27, 2017"
Assassin's Creed Odyssey,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,"October 5, 2018"
Assassin's Creed Valhalla,Ubisoft Montreal,Ubisoft,Action-adventure,Microsoft Windows,"November 10, 2020"
AssaultCube (AC),Rabid Viper Productions,Rabid Viper Productions,First-person shooter,"Microsoft Windows, Linux, macOS","November 18, 2006"
AssaultCube Reloaded (ACR),AssaultCube Reloaded Task Force,AssaultCube Reloaded Task Force,"First-person shooter, third-person shooter","Microsoft Windows, Linux, macOS","December 24, 2010"
Assetto Corsa,Kunos Simulazioni,Kunos Simulazioni,"Racing, simulation",Microsoft Windows,"November 8, 2013"
Assetto Corsa Competizione,Kunos Simulazioni,Kunos Simulazioni,"Racing, simulation",Microsoft Windows,"May 29, 2019"
Astebreed,Edelweiss,Playism,Shoot em up,Microsoft Windows,"May 31, 2014"
AstroFire,ORT Software,ORT Software,Shoot em up,MS-DOS,1994
Attack on Titan,Omega Force,Koei Tecmo,"Action, Hack and slash",Microsoft Windows,"February 18, 2016"
Attack on Titan 2,Omega Force,Koei Tecmo,"Action, Hack and slash",Microsoft Windows,"March 15, 2018"
Audiosurf,Dylan Fitterer,Dylan Fitterer,"Music, indie",Microsoft Windows,"February 15, 2008"
Audiosurf 2,Dylan Fitterer,Dylan Fitterer,"Music, indie","Microsoft Windows, Linux, macOS","October 2, 2013"
Automation - The Car Company Tycoon Game,Camshaft Software,Camshaft Software,Business simulation,Microsoft Windows,"March 12, 2015"
Axis Assassin,Electronic Arts,Electronic Arts,Tube shooter,"Apple II, Atari 8-bit, Commodore 64",1983
A Bastard's Tale,No Pest Productions,No Pest Productions,"Action, Adventure",Microsoft Windows,"May 26, 2015"
A Bird Story,Freebird Games,Freebird Games,"Adventure, RPG","Microsoft Windows, Linux, macOS","November 7, 2014"
A Blind Legend,Dowino,Plug In Digital,"Action, Adventure","Microsoft Windows, macOS","April 7, 2016"
A Bloody Night,Emanuele Leoncilli,Emanuele Leoncilli,Action,"Microsoft Windows, macOS","May 23, 2017"
A Boy and His Blob,"Abstraction Games, WayForward","Midnight City, Majesco,",Adventure,"Microsoft Windows, Linux, macOS","January 19, 2016"
A Butterfly in the District of Dreams,Life a Little,Sekai Project,Visual Novel,Microsoft Windows,"May 12, 2017"
A Chair in a Room: Greenwater,Wolf & Wood Interactive Ltd,Wolf & Wood Interactive Ltd,Adventure,Microsoft Windows,"April 5, 2016"
A City Sleeps,"Harmonix Music Systems, Inc","Harmonix Music Systems, Inc","Action, Shoot 'em up","Microsoft Windows, macOS","October 16, 2014"
A Date in the Park,Cloak and Dagger Games,Cloak and Dagger Games,Adventure,Microsoft Windows,"February 14, 2015"
A Day in the Woods,RetroEpic Software,RetroEpic Software,Puzzle,"Microsoft Windows, Linux, macOS","October 28, 2011"
A dead world's dream,JoqLePecheur,JoqLePecheur,Platformer,"Microsoft Windows,","September 20, 2016"
A Demon's Game: Episode 1,RP Studios,RP Studios,"Action, Adventure, Horror","Microsoft Windows,","December 19, 2016"
A Detective's Novel,Amaterasu Software,Amaterasu Software,Visual Novel,"Microsoft Windows,","July 28, 2016"
A dragon girl looks up at the endless sky,DebonosuWorks Inc.,DebonosuWorks Inc.,RPG,"Microsoft Windows,","October 27, 2016"
A Druid's Duel,Thoughtshelter Games,"Surprise Attack, note",Turn-Based Strategy,"Microsoft Windows, macOS","February 25, 2015"
A Duel Hand Disaster: Trackher,Ask An Enemy Studios,Ask An Enemy Studios,Shoot 'em up,"Microsoft Windows, macOS","August 29, 2017"
ARIDA: Backland's Awakening,Aoca Game Lab,Aoca Game Lab,Adventure,Microsoft Windows,"August 15, 2019"
Backyard Baseball,Humongous Entertainment,Humongous Entertainment,Sports video game,"Microsoft Windows, Classic Mac OS","October 10, 1997"
Baldur's Gate,BioWare,"Black Isle Studios, Interplay Entertainment",Role-playing,"Microsoft Windows, macOS","December 21, 1998"
Baldur's Gate: Tales of the Sword Coast,BioWare,"Black Isle Studios, Interplay Entertainment",Role-playing,"Microsoft Windows, macOS","April 30, 1999"
Baldur's Gate II: Shadows of Amn,BioWare,"Black Isle Studios, Interplay Entertainment",Role-playing,"Microsoft Windows, macOS","September 24, 2000"
Baldur's Gate II: Throne of Bhaal,BioWare,"Black Isle Studios, Interplay Entertainment","Role-playing Microsoft Windows, macOS","Microsoft Windows, macOS","June 21, 2001"
Banished,Shining Rock Software,Shining Rock Software,"City building, strategy",Microsoft Windows,"February 18, 2014"
Bastion,Supergiant Games,Warner Bros. Interactive Entertainment,"Action, role-playing","Microsoft Windows, Linux, macOS","August 16, 2011"
Batman: Arkham Asylum,Rocksteady Studios,Warner Bros. Interactive Entertainment,"Action, adventure","Microsoft Windows, macOS","September 15, 2009"
Batman: Arkham City,Rocksteady Studios,Warner Bros. Interactive Entertainment,"Action, adventure","Microsoft Windows, macOS","October 18, 2011"
Batman: Arkham Knight,Rocksteady Studios,Warner Bros. Interactive Entertainment,"Action, adventure",Microsoft Windows,"June 2, 2015"
Batman: Arkham Origins,"WB Games Montréal, Splash Damage",Warner Bros. Interactive Entertainment,"Action, adventure",Microsoft Windows,"October 25, 2013"
BattleBlock Theater,The Behemoth,The Behemoth,Platformer,"Microsoft Windows, Linux","May 15, 2014"
Battlefield 1942,Digital Illusions CE,Electronic Arts,First-person shooter,"Microsoft Windows, macOS","September 10, 2002"
Battlefield 1942: The Road to Rome,Digital Illusions CE,Electronic Arts,First-person shooter,Microsoft Windows,"February 2, 2003"
Battlefield 1942: Secret Weapons of WWII,Digital Illusions CE,Electronic Arts,First-person shooter,"Microsoft Windows, macOS","September 4, 2003"
Battlefield 2,Digital Illusions CE,EA Games,First-person shooter,Microsoft Windows,"June 21, 2005"
Battlefield 2142,EA Digital Illusions CE,Electronic Arts,First-person shooter,"Microsoft Windows, macOS","October 17, 2006"
Battlefield 3,EA Digital Illusions CE,"Sega, Electronic Arts",First-person shooter,Microsoft Windows,"October 25, 2011"
Battlefield 4,EA Digital Illusions CE,Electronic Arts,First-person shooter,Microsoft Windows,"October 29, 2013"
Battlefield Heroes,"EA Digital Illusions CE, Easy Studios","Electronic Arts, Aeria Games",First-person shooter,Microsoft Windows,"June 25, 2009"
Battlefield Play4Free,"EA Digital Illusions CE, Easy Studios",Electronic Arts,First-person shooter,Microsoft Windows,"April 4, 2011"
Battlefield V,EA Digital Illusions CE,Electronic Arts,First-person shooter,Microsoft Windows,"October 19, 2018"
Battleforge,EA Phenomic,Electronic Arts,RTS,Microsoft Windows,"March 23, 2009"
Battleground 2: Gettysburg,TalonSoft,TalonSoft,"Turn-based strategy, real-time tactics",Microsoft Windows,"December 31, 1995"
Battleground 3: Waterloo,TalonSoft,TalonSoft,"Turn-based strategy, real-time tactics",Microsoft Windows,"May 31, 1996"
Battleground 4: Shiloh,TalonSoft,TalonSoft,"Turn-based strategy, real-time tactics",Microsoft Windows,"January 31, 1996"
Battleground 5: Antietam,TalonSoft,TalonSoft,"Turn-based strategy, real-time tactics",Microsoft Windows,"December 31, 1996"
Battleground 6: Napoleon in Russia,TalonSoft,TalonSoft,"Turn-based strategy, real-time tactics",Microsoft Windows,"March 30, 1997"
Battleground 7: Bull Run,TalonSoft,TalonSoft,"Turn-based strategy, real-time tactics",Microsoft Windows,"March 30, 1997"
Battleground 8: Prelude to Waterloo,TalonSoft,TalonSoft,"Turn-based strategy, real-time tactics",Microsoft Windows,1997
Battleground 9: Chickamauga,TalonSoft,TalonSoft,"Turn-based strategy, real-time tactics",Microsoft Windows,1998
Battleground 10: Middle East,TalonSoft,TalonSoft,"Turn-based strategy, real-time tactics",Microsoft Windows,1997
Battleground 11: East Front,TalonSoft,TalonSoft,"Turn-based strategy, real-time tactics",Microsoft Windows,1997
Battlehawks 1942,Lucasfilm Games,Lucasfilm Games,Flight simulation,"MS-DOS, Amiga, Atari ST",October 1988
Battles in Time,"Quantum Quality Productions, American Laser Games",Quantum Quality Productions,Strategy,Microsoft Windows,1995
Battles of Napoleon,"Chuck Kroegel, David Landrey","Strategic Simulations, Inc.",Wargame,"Apple II, Commodore 64, MS-DOS",1988
Battleship: Surface Thunder,Hasbro Interactive,Hasbro Interactive,Action,Microsoft Windows,"September 12, 2000"
Beam Breakers,Similis Software GmbH,JoWooD Productions Software,Futuristic racing,Microsoft Windows,"October 31, 2002"
BeamNG.drive,BeamNG GmbH,BeamNG GmbH,Vehicle simulation,Microsoft Windows,"May 29, 2015"
Beasts and Bumpkins,Worldweaver Ltd,Electronic Arts,Real-time simulation,Microsoft Windows,1997
Betrayal at Krondor,Dynamix,"Dynamix, Activision, Sierra Entertainment",RPG,"MS-DOS, Microsoft Windows","June 22, 1993"
Beyond Divinity,Larian Studios,"HIP Interactive, Ubisoft, Focus Home Interactive",RPG,Microsoft Windows,2004
Beyond Good & Evil,"Ubisoft Pictures, Ubisoft Milan",Ubisoft,Action-adventure,Microsoft Windows,"November 11, 2003"
Big Rigs: Over the Road Racing,Stellar Stone,GameMill Publishing,Racing Game,Microsoft Windows,"November 20, 2003"
Billy the Wizard: Rocket Broomstick Racing,Data Design Interactive,Metro3D Europe,"Racing, platform",Microsoft Windows,"September 8, 2011"
The Binding of Isaac,Edmund McMillen,"Florian Himsl, Edmund McMillen",Roguelike,"Microsoft Windows, macOS, Linux","May 7, 2014"
BioShock,"2K Boston, 2K Australia",2K Games,First-person shooter,"Microsoft Windows, macOS","August 21, 2007"
BioShock 2,2K Marin,2K Games,First-person shooter,"Microsoft Windows, macOS","February 9, 2010"
BioShock Infinite,Irrational Games,2K Games,First-person shooter,"Microsoft Windows, macOS, Linux","March 26, 2013"
Black Mesa,Crowbar Collective,Crowbar Collective,First-person shooter,"Microsoft Windows, Linux","May 5, 2015"
Black Skylands,Hungry Couch Games,tinyBuild,"Top-down shooter, Open world",Microsoft Windows,"July 12, 2021"
Blade Strangers,Studio Saizensen,Nicalis,Fighting,Microsoft Windows,"August 28, 2018"
Blade Symphony,Puny Human,Puny Human Games,Action,Microsoft Windows,"May 7, 2014"
Blades of Time,Gaijin Entertainment,Gaijin Entertainment,"Hack and slash, platformer, action-adventure","Microsoft Windows, macOS","March 6, 2012"
Blitzkrieg,Nival Interactive,"CDV, 1C Company, Virtual Programming",Real-time tactics,"Microsoft Windows, macOS","June 4, 2003"
Borderlands,Gearbox Software,2K Games,"Action role-playing, first-person shooter",Microsoft Windows,"October 20, 2009"
Borderlands 2,"Gearbox Software, Iron Galaxy Studios",2K Games,"Action role-playing, first-person shooter","Microsoft Windows, Linux, macOS","September 18, 2012"
Borderlands 3,Gearbox Software,2K Games,"Action role-playing, first-person shooter",Microsoft Windows,"September 13, 2019"
Borderlands: The Pre-Sequel!,"Gearbox Software, 2K Australia",2K Games,"Action role-playing, first-person shooter","Microsoft Windows, Linux, macOS","October 14, 2014"
Braid,Number None,Number None,"Puzzle, platform","Microsoft Windows, Linux, macOS","April 10, 2009"
Brawlhalla,Blue Mammoth Games,Ubisoft,Fighting,"Microsoft Windows, macOS","October 17, 2017"
Bridge Project,Halycon Media GmbH & Co. KG,BitComposer Games,Simulation,"Microsoft Windows, macOS","March 28, 2013"
Brothers in Arms: Earned in Blood,Gearbox Software,Ubisoft,First-person shooter,"Microsoft Windows, OS X","October 4, 2005"
Brothers in Arms: Hell's Highway,Gearbox Software,Ubisoft,First-person shooter,Microsoft Windows,"September 23, 2008"
Brothers in Arms: Road to Hill 30,Gearbox Software,Ubisoft,First-person shooter,"Microsoft Windows, Mac OS X","February 15, 2005"
Burnout Paradise: The Ultimate Box,Criterion Games,Electronic Arts,Racing,Microsoft Windows,"February 3, 2009"
Bus Simulator,Stillalive Studios,Astragon,Simulator,"Windows 10 64-Bit, Mac OS X","September 7, 2021"
Call of Cthulhu: Dark Corners of the Earth,Headfirst Productions,Bethesda Softworks,"Survival horror, first-person shooter",Microsoft Windows,"October 24, 2005"
Call of Duty,Infinity Ward,"MediaQuest, Activision, Aspyr","Action, FPS","Microsoft Windows, macOS","October 29, 2003"
Call of Duty 2,Infinity Ward,"Konami, Activision, Aspyr","Action, FPS","Microsoft Windows, macOS","October 25, 2005"
Call of Duty 4: Modern Warfare,Infinity Ward,"Square Enix, Activision","Action, FPS","Microsoft Windows, macOS","November 5, 2007"
Call of Duty: Black Ops,"Treyarch, n-Space","Square Enix, Activision","Action, FPS","Microsoft Windows, macOS","November 9, 2010"
Call of Duty: Black Ops 2,Treyarch,"Square Enix, Activision","Action, FPS",Microsoft Windows,"December 12, 2012"
Call of Duty: Black Ops 3,Treyarch,Activision,FPS,Microsoft Windows,"November 6, 2015"
Call of Duty: Black Ops 4,Treyarch,Activision,FPS,Microsoft Windows,"October 12, 2018"
Call of Duty: Ghosts,Infinity Ward,"Square Enix, Activision","Action, FPS",Microsoft Windows,"November 5, 2013"
Call of Duty: Infinite Warfare,Infinity Ward,Activision,First-person shooter,Microsoft Windows,"November 4, 2016"
Call of Duty: Modern Warfare 2,Infinity Ward,"Activision, Square Enix","Action, FPS","Microsoft Windows, macOS","November 10, 2009"
Call of Duty: Modern Warfare 3,"Sledgehammer Games, Treyarch, Infinity Ward, Raven Software","Square Enix, Activision","Action, FPS","Microsoft Windows, macOS","November 8, 2011"
Call of Duty Online,"Tencent, Raven Software",Tencent,"Action, FPS",Microsoft Windows,"January 14, 2013"
Call of Duty: United Offensive,"Gray Matter Studios, MediaQuest, Aspyr",Activision,"Action, FPS","Microsoft Windows, macOS","September 14, 2004"
Call of Duty: World at War,"Exakt Entertainment, Rebellion Developments, Treyarch, n-Space",Activision Blizzard,"Action, FPS",Microsoft Windows,"November 11, 2008"
CarneyVale: Showtime,Singapore-MIT GAMBIT Game Lab,Microsoft Game Studios,Platformer,Microsoft Windows,"November 11, 2010"
Castlevania: Lords of Shadow,"MercurySteam, Kojima Productions, Climax Studios",Konami,"Action-adventure, hack and slash",Microsoft Windows,"October 5, 2010"
