title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link,complete_link
Data Science For Dummies (For Dummies (Computer/Tech)),[Lillian Pierson],25.49,432.0,4.6,35,0.73,0.17,0.1,0.0,0.0,7.3 x 1 x 9.1 inches,1.35 pounds,English,For Dummies; 3rd edition (September 1 2021),978-1119811558,/Data-Science-Dummies-Lillian-Pierson/dp/1119811554/ref=sr_1_13?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-13,https://www.amazon.com/Data-Science-Dummies-Lillian-Pierson/dp/1119811554/ref=sr_1_13?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-13
Azure Data Engineer Associate Certification Guide: A hands-on reference guide to developing your data engineering skills and preparing for the DP-203 exam,[Newton Alex],49.99,574.0,4.1,16,0.56,0.28,0.16,0.0,0.0,7.5 x 1.3 x 9.25 inches,2.15 pounds,English,Packt Publishing (February 28 2022),978-1801816069,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02245873B3SHBIPFMFOA&url=%2FAzure-Engineer-Associate-Certification-hands%2Fdp%2F1801816069%2Fref%3Dsr_1_3_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1663447969%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-3-spons%26psc%3D1&qualifier=1663447969&id=821362400294070&widgetName=sp_atf,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02245873B3SHBIPFMFOA&url=%2FAzure-Engineer-Associate-Certification-hands%2Fdp%2F1801816069%2Fref%3Dsr_1_3_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1663447969%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-3-spons%26psc%3D1&qualifier=1663447969&id=821362400294070&widgetName=sp_atf
Data Pipelines with Apache Airflow,"[Bas P. Harenslak,Julian Rutger de Ruiter]",47.62,480.0,4.7,44,0.77,0.16,0.03,0.04,0.0,7.38 x 1.4 x 9.25 inches,1.9 pounds,English,Manning (April 27 2021),978-1617296901,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0347658GOLL3759C53G&url=%2FData-Pipelines-Apache-Airflow-Harenslak%2Fdp%2F1617296902%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1663447969%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-1-spons%26psc%3D1&qualifier=1663447969&id=821362400294070&widgetName=sp_atf,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0347658GOLL3759C53G&url=%2FData-Pipelines-Apache-Airflow-Harenslak%2Fdp%2F1617296902%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1663447969%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-1-spons%26psc%3D1&qualifier=1663447969&id=821362400294070&widgetName=sp_atf
Practical Data Science with Python: Learn tools and techniques from hands-on examples to extract insights from data,[Nathan George],51.99,620.0,4.7,21,0.82,0.08,0.09,0.0,0.0,7.5 x 1.4 x 9.25 inches,2.31 pounds,English,Packt Publishing (September 30 2021),978-1801071970,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03905121U6XJXPNBHIFG&url=%2FPractical-Data-Science-Python-hands%2Fdp%2F1801071977%2Fref%3Dsr_1_4_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1663447969%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-4-spons%26psc%3D1&qualifier=1663447969&id=821362400294070&widgetName=sp_atf,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A03905121U6XJXPNBHIFG&url=%2FPractical-Data-Science-Python-hands%2Fdp%2F1801071977%2Fref%3Dsr_1_4_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1663447969%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-4-spons%26psc%3D1&qualifier=1663447969&id=821362400294070&widgetName=sp_atf
Data Science on AWS: Implementing End-to-End Continuous AI and Machine Learning Pipelines,"[Chris Fregly,Antje Barth]",31.99,521.0,4.4,135,0.7,0.14,0.05,0.07,0.04,7 x 1.05 x 9.19 inches,1.82 pounds,English,OReilly Media; 1st edition (May 11 2021),978-1492079392,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A013104196Y34XYTAWJJ&url=%2FData-Science-AWS-End-End%2Fdp%2F1492079391%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1663447969%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-2-spons%26psc%3D1&qualifier=1663447969&id=821362400294070&widgetName=sp_atf,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A013104196Y34XYTAWJJ&url=%2FData-Science-AWS-End-End%2Fdp%2F1492079391%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1663447969%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-2-spons%26psc%3D1&qualifier=1663447969&id=821362400294070&widgetName=sp_atf
Data Analysis for Business Economics and Policy,"[GÃ¡bor BÃ©kÃ©s,GÃ¡bor KÃ©zdi]",61.74,738.0,4.4,26,0.7,0.13,0.06,0.06,0.05,7.5 x 1.74 x 9.25 inches,3.51 pounds,English,Cambridge University Press (May 6 2021),978-1108716208,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03403322CFQYO3UQZHBI&url=%2FData-Analysis-Business-Economics-Policy%2Fdp%2F1108716202%2Fref%3Dsr_1_17_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1663447969%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-17-spons%26psc%3D1&qualifier=1663447969&id=821362400294070&widgetName=sp_mtf,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A03403322CFQYO3UQZHBI&url=%2FData-Analysis-Business-Economics-Policy%2Fdp%2F1108716202%2Fref%3Dsr_1_17_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1663447969%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-17-spons%26psc%3D1&qualifier=1663447969&id=821362400294070&widgetName=sp_mtf
Machine Learning Design Interview: Machine Learning System Design Interview,[Khang Pham],34.15,210.0,3.6,57,0.47,0.15,0.08,0.07,0.22,6 x 0.48 x 9 inches,11.8 ounces,English,Independently published (April 29 2022),,/Machine-Learning-Design-Interview-System/dp/B09YQWX59Z/ref=sr_1_59?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-59,https://www.amazon.com/Machine-Learning-Design-Interview-System/dp/B09YQWX59Z/ref=sr_1_59?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-59
Hands-On Data Analysis with Pandas: A Python data science handbook for data collection wrangling analysis and visualization 2nd Edition,"[Stefanie Molin,Ken Jee]",35.67,788.0,4.3,64,0.67,0.18,0.04,0.04,0.07,7.5 x 1.78 x 9.25 inches,2.93 pounds,English,Packt Publishing; 2nd ed. edition (April 29 2021),978-1800563452,/Hands-Data-Analysis-Pandas-visualization/dp/1800563450/ref=sr_1_60?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-60,https://www.amazon.com/Hands-Data-Analysis-Pandas-visualization/dp/1800563450/ref=sr_1_60?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-60
Business Data Science: Combining Machine Learning and Economics to Optimize Automate and Accelerate Business Decisions,[Matt Taddy],33.43,352.0,4.5,143,0.76,0.11,0.04,0.03,0.07,1.19 x 7.38 x 9.25 inches,1.62 pounds,English,McGraw Hill; 1st edition (August 21 2019),978-1260452778,/Business-Data-Science-Combining-Accelerate/dp/1260452778/ref=sr_1_57?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-57,https://www.amazon.com/Business-Data-Science-Combining-Accelerate/dp/1260452778/ref=sr_1_57?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-57
The Art of Statistics: How to Learn from Data,[David Spiegelhalter],17.99,448.0,4.6,2764,0.73,0.19,0.05,0.01,0.01,5.4 x 1.3 x 8.2 inches,13.6 ounces,English,Basic Books (August 17 2021),978-1541675704,/Art-Statistics-How-Learn-Data/dp/1541675703/ref=sr_1_58?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-58,https://www.amazon.com/Art-Statistics-How-Learn-Data/dp/1541675703/ref=sr_1_58?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-58
Cleaning Data for Effective Data Science: Doing the other 80% of the work with Python R and command-line tools,[David Mertz],39.99,498.0,4.8,27,0.92,0.08,0.0,0.0,0.0,7.5 x 1.13 x 9.25 inches,1.85 pounds,English,Packt Publishing (March 31 2021),978-1801071291,/Cleaning-Data-Effective-Science-command-line/dp/1801071292/ref=sr_1_55?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-55,https://www.amazon.com/Cleaning-Data-Effective-Science-command-line/dp/1801071292/ref=sr_1_55?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-55
Everything Data Analytics-A Beginners Guide to Data Literacy: Understanding the Processes That Turn Data Into Insights (Guides for Data Analytics Data Visualization and Communicating Data),,14.49,148.0,4.2,17,0.55,0.24,0.13,0.08,0.0,5.5 x 0.37 x 8.5 inches,8.8 ounces,English,Kenneth Michael Fornari (May 24 2022),978-1777967130,/Everything-Analytics-Beginners-Guide-Literacy/dp/1777967139/ref=sr_1_53?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-53,https://www.amazon.com/Everything-Analytics-Beginners-Guide-Literacy/dp/1777967139/ref=sr_1_53?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-53
Effective Data Science Infrastructure: How to make data scientists productive,[Ville Tuulos],49.99,352.0,5.0,5,1.0,0.0,0.0,0.0,0.0,7.38 x 0.8 x 9.25 inches,1.15 pounds,English,Manning (August 16 2022),978-1617299193,/Effective-Data-Science-Infrastructure-scientists/dp/1617299197/ref=sr_1_51?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-51,https://www.amazon.com/Effective-Data-Science-Infrastructure-scientists/dp/1617299197/ref=sr_1_51?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-51
Python Data Science Handbook: Essential Tools for Working with Data,[Jake VanderPlas],66.49,550.0,,0,0.0,0.0,0.0,0.0,0.0,,1.11 pounds,English,OReilly Media; 2nd edition (January 31 2023),978-1098121228,/Python-Data-Science-Handbook-Essential/dp/1098121228/ref=sr_1_43?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-43,https://www.amazon.com/Python-Data-Science-Handbook-Essential/dp/1098121228/ref=sr_1_43?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-43
The Enterprise Big Data Lake: Delivering the Promise of Big Data and Data Science,[Alex Gorelik],40.1,224.0,4.3,71,0.59,0.21,0.11,0.05,0.04,7 x 0.4 x 9.1 inches,11.2 ounces,English,OReilly Media; 1st edition (March 21 2019),978-1491931554,/Enterprise-Big-Data-Lake-Delivering/dp/1491931558/ref=sr_1_47?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-47,https://www.amazon.com/Enterprise-Big-Data-Lake-Delivering/dp/1491931558/ref=sr_1_47?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-47
Data-Driven Science and Engineering: Machine Learning Dynamical Systems and Control,"[Steven L. Brunton,J. Nathan Kutz]",58.49,614.0,4.6,14,0.9,0.1,0.0,0.0,0.0,7.1 x 1.1 x 10.1 inches,3.1 pounds,English,Cambridge University Press; 2nd edition (July 28 2022),978-1009098489,/Data-Driven-Science-Engineering-Learning-Dynamical/dp/1009098489/ref=sr_1_50?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-50,https://www.amazon.com/Data-Driven-Science-Engineering-Learning-Dynamical/dp/1009098489/ref=sr_1_50?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-50
Hands-On Data Science for Marketing: Improve your marketing strategies with machine learning using Python and R,[Yoon Hyup Hwang],44.99,464.0,4.3,63,0.59,0.23,0.09,0.06,0.03,7.5 x 1.05 x 9.25 inches,1.74 pounds,English,Packt Publishing (March 29 2019),978-1789346343,/Hands-Data-Science-Marketing-strategies/dp/1789346347/ref=sr_1_45?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-45,https://www.amazon.com/Hands-Data-Science-Marketing-strategies/dp/1789346347/ref=sr_1_45?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-45
Be Data Driven: How Organizations Can Harness the Power of Data,[Jordan Morrow],34.99,240.0,5.0,1,1.0,0.0,0.0,0.0,0.0,6.14 x 0.55 x 9.21 inches,12 ounces,English,Kogan Page; 1st edition (August 30 2022),978-1398606128,/Be-Data-Driven-Organizations-Harness/dp/139860612X/ref=sr_1_42?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-42,https://www.amazon.com/Be-Data-Driven-Organizations-Harness/dp/139860612X/ref=sr_1_42?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-42
Data Science Projects with Python: A case study approach to gaining valuable insights from real data with machine learning 2nd Edition,[Stephen Klosterman],36.99,432.0,4.6,52,0.79,0.13,0.04,0.05,0.0,7.5 x 0.98 x 9.25 inches,1.63 pounds,English,Packt Publishing; 2nd ed. edition (July 29 2021),978-1800564480,/Data-Science-Projects-Python-approach/dp/1800564481/ref=sr_1_41?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-41,https://www.amazon.com/Data-Science-Projects-Python-approach/dp/1800564481/ref=sr_1_41?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-41
The Kaggle Book: Data analysis and machine learning for competitive data science,"[Konrad Banachewicz,Luca Massaron et al.]",39.94,530.0,4.6,68,0.81,0.05,0.05,0.07,0.02,7.5 x 1.2 x 9.25 inches,1.98 pounds,English,Packt Publishing (April 22 2022),978-1801817479,/Data-Analysis-Machine-Learning-Kaggle/dp/1801817472/ref=sr_1_38?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-38,https://www.amazon.com/Data-Analysis-Machine-Learning-Kaggle/dp/1801817472/ref=sr_1_38?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-38
Think Like a Data Scientist: Tackle the data science process step--step,[Brian Godsey],29.59,328.0,4.5,31,0.6,0.36,0.02,0.02,0.0,7.38 x 0.7 x 9.25 inches,1.47 pounds,English,Manning; 1st edition (April 2 2017),978-1633430273,/Think-Like-Scientist-step-step/dp/1633430278/ref=sr_1_39?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-39,https://www.amazon.com/Think-Like-Scientist-step-step/dp/1633430278/ref=sr_1_39?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-39
Designing Data-Intensive Applications: The Big Ideas Behind Reliable Scalable and Maintainable Systems,[Martin Kleppmann],23.37,611.0,4.8,3167,0.85,0.09,0.03,0.01,0.02,7.01 x 1.24 x 9.17 inches,2.15 pounds,English,OReilly Media; 1st edition (May 2 2017),978-1449373320,/Designing-Data-Intensive-Applications-Reliable-Maintainable/dp/1449373321/ref=sr_1_40?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-40,https://www.amazon.com/Designing-Data-Intensive-Applications-Reliable-Maintainable/dp/1449373321/ref=sr_1_40?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-40
Data Smart: Using Data Science to Transform Information into Insight,[John W. Foreman],21.1,432.0,4.5,346,0.7,0.17,0.07,0.04,0.02,7.3 x 0.8 x 9.1 inches,1.6 pounds,English,Wiley; 1st edition (November 12 2013),978-1118661468,/Data-Smart-Science-Transform-Information/dp/111866146X/ref=sr_1_37?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-37,https://www.amazon.com/Data-Smart-Science-Transform-Information/dp/111866146X/ref=sr_1_37?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-37
Python for Data Analysis: Data Wrangling with pandas NumPy and Jupyter,[Wes McKinney],62.99,579.0,5.0,1,1.0,0.0,0.0,0.0,0.0,9.1 x 1.2 x 6.9 inches,2.07 pounds,English,OReilly Media; 3rd edition (September 20 2022),978-1098104030,/Python-Data-Analysis-Wrangling-Jupyter/dp/109810403X/ref=sr_1_30?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-30,https://www.amazon.com/Python-Data-Analysis-Wrangling-Jupyter/dp/109810403X/ref=sr_1_30?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-30
Modern Data Science with R (Chapman & Hall/CRC Texts in Statistical Science),,72.59,632.0,3.9,9,0.69,0.15,0.15,0.0,0.0,7.25 x 1.5 x 10.25 inches,3.31 pounds,English,Chapman and Hall/CRC; 2nd edition (April 14 2021),978-0367191498,/Modern-Science-Chapman-Texts-Statistical/dp/0367191490/ref=sr_1_31?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-31,https://www.amazon.com/Modern-Science-Chapman-Texts-Statistical/dp/0367191490/ref=sr_1_31?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-31
Machine Learning: 4 Books in 1: The #1 Beginners Guide to Master the Basics of Python Programming Learn the Art of Data Science and Build Artificial Intelligence,[Andrew Park],25.97,342.0,4.6,344,0.81,0.1,0.03,0.01,0.05,6 x 0.78 x 9 inches,1.29 pounds,English,Independently published (July 20 2022),979-8841495048,/Machine-Learning-Programming-Artificial-Intelligence/dp/B0B6XLFWPL/ref=sr_1_29?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-29,https://www.amazon.com/Machine-Learning-Programming-Artificial-Intelligence/dp/B0B6XLFWPL/ref=sr_1_29?crid=1IWIG31DNPO6P&keywords=data+science&qid=1663447969&sprefix=data+science%2Caps%2C586&sr=8-29
