,Flight No,Date,Time,"Version, Booster",Launch_Site,Payload,Payload_Mass,Orbit,Customer,Launch_Outcome,Booster_landing
62,62,8 October 2018,02:22,F9 B5 B1048.2,VAFB SLC-4E,SAOCOM 1A,"3,000 ",SSO,CONAE,Success,Success
63,63,15 November 2018,20:46,F9 B5 B1047.2,KSC LC-39A,Es'hail 2,"5,300 ",GTO,Es'hailSat,Success,Success
64,64,3 December 2018,18:34:05,F9 B5  B1046.3,VAFB SLC-4E,SSO-A ,"4,000 ",SSO,Spaceflight Industries,Success,Success
65,65,5 December 2018,18:16,F9 B5 B1050,CCAFS SLC-40,SpaceX CRS-16,"2,500 ",LEO (ISS),NASA (CRS),Success,Failure
66,66,23 December 2018,13:51,F9 B5 B1054,CCAFS SLC-40,GPS III-01 ,"4,400 ",MEO,USAF,Success,No attempt
67,67,11 January 2019,15:31,F9 B5 B1049.2,VAFB SLC-4E,Iridium NEXT-8,"9,600 ",Polar LEO,Iridium Communications,Success,Success(drone ship)
68,68,22 February 2019,01:45,F9 B5 B1048.3,CCAFS SLC-40,Nusantara Satu ,"4,850 ",GTO,PSN SpaceIL / IAI Air Force Research,Success,Success(drone ship)
69,69,2 March 2019,07:49,F9 B5 B1051.1,KSC LC-39A,Crew Dragon Demo-1,"12,055 ",LEO (ISS),NASA (CCD),Success,Success(drone ship)
70,70,4 May 2019,06:48,F9 B5 B1056.1,CCAFS SLC-40,SpaceX CRS-17,"2,495 ",LEO (ISS),NASA (CRS),Success,Success(drone ship)
71,71,24 May 2019,02:30,F9 B5 B1049.3,CCAFS SLC-40,Starlink v0.9 ,"13,620 ",LEO,SpaceX,Success,Success(drone ship)
72,72,12 June 2019,14:17,F9 B5 B1051.2,VAFB SLC-4E,RADARSAT Constellation,"4,200 ",SSO,Canadian Space Agency (CSA),Success,Success(ground pad)
73,73,25 July 2019,22:01,F9 B5 B1056.2,CCAF LC-40,SpaceX CRS-18,"2,268 ",LEO (ISS),NASA (CRS),Success,Success(ground pad)
74,74,6 August 2019,23:23,F9 B5 B1047.3,CCAFS SLC-40,AMOS-17,"6,500 ",GTO,Spacecom,Success,No attempt
75,75,11 November 2019,14:56,F9 B5 B1048.4,CCAFS SLC-40,Starlink 1 v1.0 ,"15,600 ",LEO,SpaceX,Success,Success(drone ship)
76,76,5 December 2019,17:29,F9 B5 B1059.1,CCAFS SLC-40,SpaceX CRS-19,"2,617 ",LEO (ISS),NASA (CRS),Success,Success(drone ship)
77,77,17 December 2019,00:10,F9 B5 B1056.3,CCAFS SLC-40,JCSat-18 / Kacific 1,"6,956 ",GTO,Sky Perfect JSATKacific 1,Success,Success(drone ship)
78,78,7 January 2020,02:19:21,F9 B5  B1049.4,CCAFS SLC-40,Starlink 2 v1.0 ,"15,600 ",LEO,SpaceX,Success,Success(drone ship)
79,79,19 January 2020,15:30,F9 B5  B1046.4,KSC LC-39A,Crew Dragon in-flight abort test,"12,050 ",Sub-orbital,NASA (CTS),Success,No attempt
80,80,29 January 2020,14:07,F9 B5 B1051.3,CCAFS SLC-40,Starlink 3 v1.0 ,"15,600 ",LEO,SpaceX,Success,Success(drone ship)
81,81,17 February 2020,15:05,F9 B5 B1056.4,CCAFS SLC-40,Starlink 4 v1.0 ,"15,600 ",LEO,SpaceX,Success,Failure(drone ship)
82,82,7 March 2020,04:50,F9 B5 B1059.2,CCAFS SLC-40,SpaceX CRS-20,"1,977 ",LEO (ISS),NASA (CRS),Success,Success(ground pad)
83,83,18 March 2020,12:16,F9 B5  B1048.5,KSC LC-39A,Starlink 5 v1.0 ,"15,600 ",LEO,SpaceX,Success,Failure(drone ship)
84,84,22 April 2020,19:30,F9 B5 B1051.4,KSC LC-39A,Starlink 6 v1.0 ,"15,600 ",LEO,SpaceX,Success,Success(drone ship)
85,85,30 May 2020,19:22,F9 B5 B1058.1,KSC LC-39A,Crew Dragon Demo-2,"12,530 ",LEO (ISS),NASA (CCDev),Success,Success(drone ship)
86,86,4 June 2020,01:25,F9 B5 B1049.5,CCAFS SLC-40,Starlink 7 v1.0 ,"15,600 ",LEO,SpaceX,Success,Success(drone ship)
87,87,13 June 2020,09:21,F9 B5 B1059.3,CCAFS SLC-40,Starlink 8 v1.0 ,"15,410 ",LEO,SpaceXPlanet Labs,Success,Success(drone ship)
88,88,30 June 2020,20:10:46,F9 B5 B1060.1,CCAFS SLC-40,GPS III-03 ,"4,311 ",MEO,U.S. Space Force,Success,Success(drone ship)
89,89,20 July 2020,21:30,F9 B5  B1058.2,CCAFS SLC-40,ANASIS-II,"5,000–6,000 ",GTO,Republic of Korea Army,Success,Success(drone ship)
90,90,7 August 2020,05:12,F9 B5 B1051.5,KSC LC-39A,Starlink 9 v1.0 ,"14,932 ",LEO,SpaceXSpaceflight Industries (BlackSky),Success,Success(drone ship)
91,91,18 August 2020, 14:31,F9 B5 B1049.6,CCAFS SLC-40,Starlink 10 v1.0 ,"15,440 ",LEO,SpaceXPlanet Labs,Success,Success(drone ship)
92,92,30 August 2020,23:18,F9 B5 B1059.4,CCAFS SLC-40,SAOCOM 1B,"3,130 ",SSO,CONAEPlanetIQTyvak,Success,Success(ground pad)
93,93,3 September 2020,12:46:14,F9 B5 B1060.2,KSC LC-39A,Starlink 11 v1.0 ,"15,600 ",LEO,SpaceX,Success,Success(drone ship)
94,94,6 October 2020,11:29:34,F9 B5 B1058.3,KSC LC-39A,Starlink 12 v1.0 ,"15,600 ",LEO,SpaceX,Success,Success(drone ship)
95,95,18 October 2020,12:25:57,F9 B5 B1051.6,KSC LC-39A,Starlink 13 v1.0 ,"15,600 ",LEO,SpaceX,Success,Success(drone ship)
96,96,24 October 2020,15:31:34,F9 B5 B1060.3,CCAFS SLC-40,Starlink 14 v1.0 ,"15,600 ",LEO,SpaceX,Success,Success(drone ship)
97,97,5 November 2020,23:24:23,F9 B5 B1062.1,CCAFS SLC-40,GPS III-04 ,"4,311 ",MEO,USSF,Success,Success(drone ship)
98,98,16 November 2020,00:27,F9 B5 B1061.1,KSC LC-39A,Crew-1,"12,500 ",LEO (ISS),NASA (CCP),Success,Success(drone ship)
99,99,21 November 2020,17:17:08,F9 B5 B1063.1,VAFB SLC-4E,Sentinel-6 Michael Freilich ,"1,192 ",LEO,NASA / NOAA / ESA / EUMETSAT,Success,Success(ground pad)
100,100,25 November 2020,02:13,F9 B5 B1049.7,CCAFS SLC-40,Starlink 15 v1.0 ,"15,600 ",LEO,SpaceX,Success,Success(drone ship)
101,101,6 December 2020,16:17:08,F9 B5 B1058.4,KSC LC-39A,SpaceX CRS-21,"2,972 ",LEO (ISS),NASA (CRS),Success,Success(drone ship)
102,102,13 December 2020,17:30:00,F9 B5 B1051.7,CCSFS SLC-40,SXM-7,"7,000 ",GTO,Sirius XM,Success,Success(drone ship)
103,103,19 December 2020,14:00:00,F9 B5 B1059.5,KSC LC-39A,NROL-108,Classified,LEO,NRO,Success,Success(ground pad)
104,104,8 January 2021,02:15,F9 B5 B1060.4,CCSFS SLC-40,Türksat 5A,"3,500 ",GTO,Türksat,Success,Success(drone ship)
105,105,20 January 2021,13:02:22,F9 B5 B1051.8,KSC LC-39A,Starlink 16 v1.0 (60 satellites),"15,600 ",LEO,SpaceX,Success,Success(drone ship)
106,106,24 January 2021,15:00,F9 B5 B1058.5,CCSFS SLC-40,Transporter-1: (143 smallsat rideshare),"5,000 ",SSO,Various,Success,Success(drone ship)
107,107,4 February 2021, 06:19,F9 B5 B1060.5,CCSFS SLC-40,Starlink 18 v1.0 (60 satellites),"15,600 ",LEO,SpaceX,Success,Success(drone ship)
108,108,16 February 2021,03:59:37,F9 B5 B1059.6,CCSFS SLC-40,Starlink 19 v1.0 (60 satellites),"15,600 ",LEO,SpaceX,Success,Failure (drone ship)
109,109,4 March 2021,08:24:54,F9 B5 B1049.8,KSC LC-39A,Starlink 17 v1.0 (60 satellites),"15,600 ",LEO,SpaceX,Success,Success(drone ship)
110,110,11 March 2021,08:13:29,F9 B5 B1058.6,CCSFS SLC-40,Starlink 20 v1.0 (60 satellites),"15,600 ",LEO,SpaceX,Success,Success(drone ship)
111,111,14 March 2021,10:01:26,F9 B5 B1051.9,KSC LC-39A,Starlink 21 v1.0 (60 satellites),"15,600 ",LEO,SpaceX,Success,Success(drone ship)
112,112,24 March 2021,08:28:24,F9 B5 B1060.6,CCSFS SLC-40,Starlink 22 v1.0 (60 satellites),"15,600 ",LEO,SpaceX,Success,Success(drone ship)
113,113,7 April 2021,16:34:18,F9 B5 B1058.7,CCSFS SLC-40,Starlink 23 v1.0 (60 satellites),"15,600 ",LEO,SpaceX,Success,Success(drone ship)
114,114,23 April 2021,09:49:02,F9 B5 B1061.2,KSC LC-39A,Crew-2(Crew Dragon C206.2 Endeavour ♺),"13,000 ",LEO (ISS),NASA (CTS),Success,Success(drone ship)
115,115,29 April 2021,03:44:30,F9 B5 B1060.7,CCSFS SLC-40,Starlink 24 v1.0 (60 satellites),"15,600 ",LEO,SpaceX,Success,Success(drone ship)
116,116,4 May 2021,19:01:07,F9 B5 B1049.9,KSC LC-39A,Starlink 25 v1.0 (60 satellites),"15,600 ",LEO,SpaceX,Success,Success(drone ship)
117,117,9 May 2021,06:42:45,F9 B5 B1051.10,CCSFS SLC-40,Starlink 27 v1.0 (60 satellites),"15,600 ",LEO,SpaceX,Success,Success(drone ship)
118,118,15 May 2021,22:56,F9 B5 B1058.8,KSC LC-39A,Starlink 26 v1.0 (52 Satellites) Capella-6 &Tyvak-0130,"14,000 ",LEO,SpaceX Capella Space and Tyvak,Success,Success(drone ship)
119,119,26 May 2021,18:59:35,F9 B5 B1063.2,CCSFS SLC-40,Starlink 28 v1.0 (60 Satellites),"15,600 ",LEO,SpaceX,Success,Success(drone ship)
120,120,3 June 2021,17:29:17,F9 B5 B1067.1,KSC LC-39A,SpaceX CRS-22(Dragon C209.1),"3,328 ",LEO (ISS),NASA (CRS),Success,Success(drone ship)
121,121,6 June 2021,04:26,F9 B5  B1061.3,CCSFS SLC-40,SXM-8,"7,000 ",GTO,Sirius XM,Success,Success(drone ship)
122,122,17 June 2021,16:09:35,F9 B5  B1062.2,CCSFS SLC-40,GPS III-05 (Neil Armstrong),"4,331 ",MEO,USSF,Success,Success(drone ship)
123,123,30 June 2021,19:31,F9 B5  B1060.8,CCSFS SLC-40,Transporter-2: (88 payloads Smallsat Rideshare),Unknown[d],SSO,Various,Success,Success(ground pad)
124,124,29 August 2021,07:14:49,F9 B5 B1061.4,KSC LC-39A,SpaceX CRS-23(Dragon C208.2 ♺),"2,200 ",LEO (ISS),NASA (CRS),Success,Success(drone ship)
125,125,14 September 2021,03:55:50,F9 B5  B1049.10,VSFB SLC-4E,"Starlink Group 2-1 (v1.5 L1, 51 satellites)","13,260 ",LEO,SpaceX,Success,Success(drone ship)
126,126,16 September 2021,00:02:56,F9 B5  B1062.3,KSC LC-39A,Inspiration4(Crew Dragon C207.2 Resilience ♺),"12,519 ",LEO,Jared Isaacman,Success,Success(drone ship)
127,127,11 November 2021,02:03:31,F9 B5 B1067.2,KSC LC-39A,Crew-3(Crew Dragon C210.1 Endurance),"13,000 ",LEO (ISS),NASA (CTS),Success,Success(drone ship)
128,128,13 November 2021,12:19,F9 B5B1058.9,CCSFS SLC-40,Starlink Group 4-1 (53 satellites),"15,635 ",LEO,SpaceX,Success,Success(drone ship)
129,129,24 November 2021,06:21,F9 B5B1063.3,VSFB SLC-4E,Double Asteroid Redirection Test (DART),624 ,Heliocentric,NASA (LSP),Success,Success(drone ship)
130,130,2 December 2021,23:12,F9 B5B1060.9,CCSFS SLC-40,Starlink Group 4-3 (48 satellites)SXRS-2: BlackSky Global (2 sats),"14,500 ",LEO,"SpaceXSpaceflight, Inc. (BlackSky Global)",Success,Success(drone ship)
131,131,9 December 2021,06:00,F9 B5B1061.5,KSC LC-39A,Imaging X-ray Polarimetry Explorer (IXPE),325 ,LEO,NASA (LSP),Success,Success(drone ship)
132,132,18 December 2021,12:41,F9 B5B1051.11,VSFB SLC-4E,Starlink Group 4-4(52 satellites),"15,600 ",LEO,SpaceX,Success,Success(drone ship)
133,133,19 December 2021,03:58,F9 B5B1067.3,CCSFS SLC-40,Türksat 5B,"4,500 ",GTO,Türksat,Success,Success(drone ship)
134,134,21 December 2021,10:06,F9 B5B1069.1,KSC LC-39A,SpaceX CRS-24(Dragon C209.2 ♺),"2,989 ",LEO (ISS),NASA (CRS),Success,Success[e](drone ship)
135,135,6 January 2022,21:49,F9 B5 B1062.4,KSC LC-39A,Starlink Group 4-5(49 satellites),"14,500 ",LEO,SpaceX,Success,Success(drone ship)
136,136,13 January 2022,15:25:38,F9 B5 B1058.10,CCSFS SLC-40,Transporter-3: (105 payloads Smallsat Rideshare),Unknown,SSO,Various,Success,Success(ground pad)
137,137,19 January 2022,02:02:40,F9 B5 B1060.10,KSC LC-39A,Starlink Group 4-6(49 satellites),"14,500 ",LEO,SpaceX,Success,Success(drone ship)
138,138,31 January 2022,23:11,F9 B5 B1052.3,CCSFS SLC-40,CSG-2,"2,205 ",SSO,ASI,Success,Success(ground pad)
139,139,2 February 2022,20:27,F9 B5 B1071.1,VSFB SLC-4E,NROL-87,Classified,SSO,NRO,Success,Success(ground pad)
140,140,3 February 2022,18:13,F9 B5 B1061.6,KSC LC-39A,Starlink Group 4-7(49 satellites),"14,500 ",LEO,SpaceX,Success,Success(drone ship)
141,141,21 February 2022,14:44,F9 B5 B1058.11,CCSFS SLC-40,Starlink Group 4-8 (46 satellites),"13,600 ",LEO,SpaceX,Success,Success(drone ship)
142,142,25 February 2022,17:12,F9 B5 B1063.4,VSFBSLC-4E,Starlink Group 4-11 (50 satellites),"14,750 ",LEO,SpaceX,Success,Success(drone ship)
143,143,3 March 2022,14:25,F9 B5 B1060.11,KSC LC-39A,Starlink Group 4-9 (47 satellites),"13,900 ",LEO,SpaceX,Success,Success(drone ship)
144,144,9 March 2022,13:45,F9 B5 B1052.4,CCSFS SLC-40,Starlink Group 4-10(48 satellites),"14,160 ",LEO,SpaceX,Success,Success(drone ship)
145,145,19 March 2022,04:42,F9 B5 B1051.12,CCSFS SLC-40,Starlink Group 4-12 (53 satellites),"16,250 ",LEO,SpaceX,Success,Success(drone ship)
146,146,1 April 2022,16:24,F9 B5 B1061.7,CCSFS SLC-40,Transporter-4: (40 payloads Smallsat Rideshare),Unknown,SSO,Various,Success,Success(drone ship)
147,147,8 April 2022,,F9 B5 B1062.5,KSC LC-39A,Axiom-1(Crew Dragon C206.3 Endeavour ♺),"13,000 ",LEO (ISS),Axiom Space,Success,Success(drone ship)
148,148,17 April 2022,,F9 B5 B1071.2,VSFB SLC-4E,NROL-85 (Intruder 13A (NOSS-3 9A) and Intruder 13B (NOSS-3 9B)),Classified,LEO,NRO,Success,Success(ground pad)
149,149,21 April 2022,17:51,F9 B5 B1060.12,CCSFS SLC-40,Starlink Group 4-14 (53 satellites),"16,250 ",LEO,SpaceX,Success,Success(drone ship)
150,150,27 April 2022,07:52,F9 B5 B1067.4,KSC LC-39A,Crew-4,"13,000 ",LEO (ISS),NASA (CTS)[17],Success,Success(drone ship)
151,151,29 April 2022,21:27,F9 B5 B1062.6,CCSFS SLC-40,Starlink Group 4-16 (53 satellites),"16,250 ",LEO,SpaceX,Success,Success(drone ship)
152,152,6 May 2022,09:46,F9 B5 B1058.12,KSC LC-39A,Starlink Group 4-17 (53 satellites),"16,250 ",LEO,SpaceX,Success,Success(drone ship)
153,153,13 May 2022,22:07,F9 B5 B1063.5,VSFB SLC-4E,Starlink Group 4-13 (53 satellites),"16,250 ",LEO,SpaceX,Success,Success(drone ship)
154,154,14 May 2022,20:40,F9 B5B1073.1,CCSFS SLC-40,Starlink Group 4-15 (53 satellites),"16,250 ",LEO,SpaceX,Success,Success(drone ship)
155,155,18 May 2022,10:59,F9 B5 B1052.5,KSC LC-39A,Starlink Group 4-18 (53 satellites),"16,250 ",LEO,SpaceX,Success,Success(drone ship)
156,156,25 May 2022,18:35,F9 B5 B1061.8,CCSFS SLC-40,Transporter-5: (59 payloads Smallsat Rideshare),Unknown,SSO,Various,Success,Success(ground pad)
157,157,8 June 2022,21:03,F9 B5 B1062.7,CCSFS SLC-40,Nilesat-301,"4,100 ",GTO,Nilesat,Success,Success(drone ship)
158,158,17 June 2022,16:09,F9 B5 B1060.13,KSC LC-39A,Starlink Group 4-19 (53 satellites),"16,250 ",LEO,SpaceX,Success,Success(drone ship)
159,159,18 June 2022,,F9 B5 B1071.3,VSFB SLC-4E,SARah 1,"4,000 ",SSO,German Intelligence Service,Success,Success(ground pad)
160,160,19 June 2022,04:27,F9 B5 B1061.9,CCSFS SLC-40,Globalstar-2 M087 (FM15),700 ,LEO,GlobalstarUnknown US Government Agency,Success,Success(drone ship)
161,161,29 June 2022,21:04,F9 B5 B1073.2,CCSFS SLC-40,SES-22,"3,500 ",GTO,SES,Success,Success(drone ship)
162,162,7 July 2022,13:11,F9 B5 B1058.13,CCSFS SLC-40,Starlink Group 4-21 (53 satellites),"16,250 ",LEO,SpaceX,Success,Success(drone ship)
163,163,11 July 2022,01:39,F9 B5 B1063.6,VSFB SLC-4E,Starlink Group 3-1 (46 satellites),"13,570 ",SSO,SpaceX,Success,Success(drone ship)
164,164,15 July 2022,00:44:22,F9 B5 B1067.5,KSC LC-39A,SpaceX CRS-25(Dragon C208.3 ♺),"2,630 ",LEO (ISS),NASA (CRS),Success,Success(drone ship)
